# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 380         5.762       50.906      114.30      Maastricht  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   FG,   TG,   TN,   TX,    Q,   RH,   UG, EV24
  380,20180101,   65,   60,   44,   79,  225,   41,   85,    3
  380,20180102,   60,   62,   47,   86,  169,   28,   87,    2
  380,20180103,   88,   85,   69,  112,   87,  114,   75,    1
  380,20180104,   63,   83,   63,  120,   72,   40,   84,    1
  380,20180105,   57,   76,   46,   95,  212,   16,   84,    3
  380,20180106,   33,   50,   31,   73,  146,   -1,   91,    2
  380,20180107,   81,   29,   16,   48,  169,    2,   86,    2
  380,20180108,   60,   36,   18,   54,  119,    0,   84,    1
  380,20180109,   25,   45,   -1,   75,  166,    0,   89,    2
  380,20180110,   35,   72,   49,   95,  254,   24,   85,    3
  380,20180111,   18,   58,   37,   81,  209,    0,   93,    3
  380,20180112,   14,   45,   10,   60,   82,    0,   97,    1
  380,20180113,   25,   32,   -4,   72,  326,    0,   87,    4
  380,20180114,   30,   30,    0,   64,  458,    0,   82,    5
  380,20180115,   79,   54,   31,   78,  131,   36,   85,    2
  380,20180116,   59,   54,   27,   76,  316,   19,   80,    4
  380,20180117,   60,   30,    4,   44,  246,   50,   83,    3
  380,20180118,   78,   55,   10,  106,  288,   75,   80,    4
  380,20180119,   46,   31,   17,   59,  378,   20,   86,    4
  380,20180120,   36,   21,   13,   34,   96,   65,   94,    1
  380,20180121,   31,   23,   -7,   46,  348,   19,   91,    4
  380,20180122,   35,   69,   28,   89,  208,   13,   91,    3
  380,20180123,   59,   81,   46,  101,  352,    1,   84,    5
  380,20180124,   86,  116,   96,  133,  267,    2,   81,    4
  380,20180125,   35,   72,   57,   96,  147,   62,   92,    2
  380,20180126,   23,   60,   43,   76,  288,    0,   91,    4
  380,20180127,   45,   56,   42,   78,  534,    4,   85,    7
  380,20180128,   67,   81,   42,  104,  187,    8,   93,    3
  380,20180129,   65,   88,   49,   98,   83,   21,   87,    1
  380,20180130,   30,   48,   10,   77,  554,   -1,   90,    7
  380,20180131,   66,   70,   26,   94,   75,   75,   90,    1
  380,20180201,   53,   26,   10,   48,  296,    3,   85,    3
  380,20180202,   38,   28,   19,   42,  136,   42,   95,    2
  380,20180203,   26,   23,   12,   39,  223,    2,   95,    3
  380,20180204,   50,   -4,  -25,   22,  275,    9,   84,    3
  380,20180205,   53,   -6,  -27,   30,  803,    0,   80,    8
  380,20180206,   43,  -17,  -32,    1,  277,    2,   84,    3
  380,20180207,   28,  -23,  -58,   11,  639,    0,   80,    6
  380,20180208,   28,  -33,  -76,   13,  743,    0,   80,    7
  380,20180209,   48,   -6,  -37,   20,  678,    6,   82,    7
  380,20180210,   48,   19,    4,   47,  240,   10,   89,    3
  380,20180211,   63,   32,    6,   61,  317,   32,   85,    4
  380,20180212,   43,   16,   -9,   46,  492,    9,   80,    6
  380,20180213,   43,   10,  -20,   53,  943,    0,   70,   10
  380,20180214,   38,   18,  -35,   59,  957,    0,   60,   11
  380,20180215,   43,   44,    9,   90,  194,   70,   90,    2
  380,20180216,   26,   28,  -11,   82,  936,    0,   81,   11
  380,20180217,   30,   17,   -9,   57,  727,    0,   80,    8
  380,20180218,   27,   22,  -29,   78,  971,    0,   73,   11
  380,20180219,   18,    8,  -29,   39,  457,    0,   79,    5
  380,20180220,   28,   13,  -21,   49,  662,    0,   79,    7
  380,20180221,   45,   -3,  -44,   46, 1009,    0,   76,   11
  380,20180222,   62,   -1,  -31,   43, 1104,    0,   70,   12
  380,20180223,   63,  -10,  -41,   30, 1169,    0,   64,   12
  380,20180224,   76,   -7,  -49,   52, 1129,    0,   52,   12
  380,20180225,   68,  -28,  -54,    6, 1215,    0,   49,   11
  380,20180226,   64,  -44,  -73,  -10,  805,    1,   71,    7
  380,20180227,   58,  -52,  -83,   -9, 1215,    0,   62,   10
  380,20180228,   71,  -61,  -89,  -24, 1236,    0,   53,   10
  380,20180301,   93,  -33,  -69,    8,  963,    0,   45,    9
  380,20180302,   71,  -27,  -39,   -2,  299,   23,   62,    3
  380,20180303,   33,    2,  -30,   40, 1078,    5,   86,   12
  380,20180304,   38,   68,   -4,  131,  925,    2,   77,   12
  380,20180305,   36,   71,   35,  129,  872,    0,   75,   12
  380,20180306,   28,   69,   33,  112,  925,    0,   77,   12
  380,20180307,   39,   51,   21,   80,  326,   53,   86,    4
  380,20180308,   63,   46,   18,   85,  530,   32,   85,    7
  380,20180309,   33,   64,   20,   95,  572,   45,   88,    8
  380,20180310,   46,  121,   92,  156,  668,    4,   82,   10
  380,20180311,   42,  122,   92,  152,  629,    0,   79,   10
  380,20180312,   54,  106,   82,  147, 1010,   25,   79,   15
  380,20180313,   51,   57,   41,   85,  130,   71,   94,    2
  380,20180314,   33,   69,   11,  126, 1427,    0,   77,   19
  380,20180315,   42,   71,   45,  113,  452,   69,   77,    6
  380,20180316,   35,   58,    5,   97,  356,   48,   94,    5
  380,20180317,   82,  -19,  -28,    5,  269,    1,   82,    3
  380,20180318,   70,  -14,  -30,    9,  627,    0,   64,    6
  380,20180319,   56,   -8,  -42,   31, 1160,    0,   54,   12
  380,20180320,   50,   19,  -47,   86, 1517,    3,   60,   17
  380,20180321,   25,   16,  -21,   69, 1198,    0,   81,   13
  380,20180322,   35,   47,   17,   68,  196,   38,   93,    2
  380,20180323,   44,   52,   42,   69,  474,    1,   83,    6
  380,20180324,   28,   72,   35,  126, 1459,    0,   69,   20
  380,20180325,   23,   82,   17,  133, 1620,    0,   64,   23
  380,20180326,   20,   61,   15,  111, 1200,    2,   75,   16
  380,20180327,   39,   59,    2,  105,  612,   43,   85,    8
  380,20180328,   46,   70,   35,  106,  340,   87,   92,    5
  380,20180329,   38,   69,   32,  112, 1212,    3,   69,   16
  380,20180330,   36,   92,   55,  148, 1155,   18,   68,   17
  380,20180331,   30,   79,   40,  131, 1252,   33,   77,   17
  380,20180401,   34,   58,   38,   81,  478,    7,   86,    6
  380,20180402,   40,   94,   32,  148,  879,    2,   69,   13
  380,20180403,   62,  120,   93,  162,  777,    9,   73,   12
  380,20180404,   56,  109,   63,  144,  820,    8,   77,   12
  380,20180405,   48,   68,   22,   96,  908,    6,   74,   12
  380,20180406,   41,   97,   24,  175, 2056,    0,   55,   30
  380,20180407,   36,  154,   53,  228, 1953,    0,   52,   33
  380,20180408,   23,  168,  103,  234, 1632,    0,   53,   28
  380,20180409,   31,  139,   97,  174,  920,   -1,   77,   15
  380,20180410,   31,  138,  100,  188,  956,   50,   72,   15
  380,20180411,   23,  100,   69,  130,  515,   28,   89,    8
  380,20180412,   28,  112,   55,  168, 1051,   -1,   90,   16
  380,20180413,   23,  108,   55,  148,  927,    0,   82,   14
  380,20180414,   21,  131,   66,  188, 1519,   17,   80,   24
  380,20180415,   32,  140,  106,  184, 1537,   18,   76,   25
  380,20180416,   26,  130,   84,  179, 2100,    2,   73,   33
  380,20180417,   20,  145,   59,  213, 2194,    0,   64,   36
  380,20180418,   29,  179,   83,  248, 2271,    0,   55,   40
  380,20180419,   32,  206,  103,  280, 2315,    0,   48,   43
  380,20180420,   28,  203,  122,  270, 2135,    0,   55,   39
