compound,var,large,2019_initial,2019_manual,2020_initial,2020_manual
Glyphosate,beta,A,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,B,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,C,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,D,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,E,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,F,-0.2,-0.28,-0.2,-0.11
Glyphosate,beta,G,-0.2,-0.28,-0.2,-0.11
Metobromuron,beta,A,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,B,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,C,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,D,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,E,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,F,-0.2,-0.5,-0.2,-0.12
Metobromuron,beta,G,-0.2,-0.5,-0.2,-0.12
Glyphosate,conc_ads,A,0,0,0.17,0.17
Glyphosate,conc_ads,B,0.3,0.3,0,0
Glyphosate,conc_ads,C,5.29,5.29,2.06,2.06
Glyphosate,conc_ads,D,0.25,0.25,0,0
Glyphosate,conc_ads,E,0,0,0,0
Glyphosate,conc_ads,F,0,0,0,0
Glyphosate,conc_ads,G,0,0,0,0
Metobromuron,conc_ads,A,0,0,0.15,0.15
Metobromuron,conc_ads,B,1.06,1.06,0.01,0.01
Metobromuron,conc_ads,C,0.01,0.01,0,0
Metobromuron,conc_ads,D,0.01,0.01,0,0
Metobromuron,conc_ads,E,2.93,2.93,0,0
Metobromuron,conc_ads,F,0,0,0,0
Metobromuron,conc_ads,G,0.01,0.01,0,0
Glyphosate,kfilm,A,0.01,0,0.01,0
Glyphosate,kfilm,B,0.01,0,0.01,0
Glyphosate,kfilm,C,0.01,0,0.01,0
Glyphosate,kfilm,D,0.01,0,0.01,0
Glyphosate,kfilm,E,0.01,0,0.01,0
Glyphosate,kfilm,F,0.01,0,0.01,0
Glyphosate,kfilm,G,0.01,0,0.01,0
Metobromuron,kfilm,A,0.01,0,0.01,0
Metobromuron,kfilm,B,0.01,0,0.01,0
Metobromuron,kfilm,C,0.01,0,0.01,0
Metobromuron,kfilm,D,0.01,0,0.01,0
Metobromuron,kfilm,E,0.01,0,0.01,0
Metobromuron,kfilm,F,0.01,0,0.01,0
Metobromuron,kfilm,G,0.01,0,0.01,0
Glyphosate,zm,A,0.01,0.01,0.01,0.01
Glyphosate,zm,B,0.01,0.01,0.01,0.01
Glyphosate,zm,C,0.01,0.01,0.01,0.01
Glyphosate,zm,D,0.01,0.01,0.01,0.01
Glyphosate,zm,E,0.01,0.01,0.01,0.01
Glyphosate,zm,F,0.01,0.01,0.01,0.01
Glyphosate,zm,G,0.01,0.01,0.01,0.01
Metobromuron,zm,A,0.01,0.01,0.01,0.01
Metobromuron,zm,B,0.01,0.01,0.01,0.01
Metobromuron,zm,C,0.01,0.01,0.01,0.01
Metobromuron,zm,D,0.01,0.01,0.01,0.01
Metobromuron,zm,E,0.01,0.01,0.01,0.01
Metobromuron,zm,F,0.01,0.01,0.01,0.01
Metobromuron,zm,G,0.01,0.01,0.01,0.01
Glyphosate,zs,A,0.05,0.05,0.05,0.05
Glyphosate,zs,B,0.05,0.05,0.05,0.05
Glyphosate,zs,C,0.05,0.05,0.05,0.05
Glyphosate,zs,D,0.05,0.05,0.05,0.05
Glyphosate,zs,E,0.05,0.05,0.05,0.05
Glyphosate,zs,F,0.05,0.05,0.05,0.05
Glyphosate,zs,G,0.05,0.05,0.05,0.05
Metobromuron,zs,A,0.05,0.05,0.05,0.05
Metobromuron,zs,B,0.05,0.05,0.05,0.05
Metobromuron,zs,C,0.05,0.05,0.05,0.05
Metobromuron,zs,D,0.05,0.05,0.05,0.05
Metobromuron,zs,E,0.05,0.05,0.05,0.05
Metobromuron,zs,F,0.05,0.05,0.05,0.05
Metobromuron,zs,G,0.05,0.05,0.05,0.05
