run	var	val
1	conc_ads	-50%
2	conc_ads	-20%
3	conc_ads	+20%
4	conc_ads	+50%
5	kfilm	1e-8v
6	kfilm	-20%
7	kfilm	+20%
8	kfilm	0.0001v
9	kr	0.00001v
10	kr	-20%
11	kr	+20%
12	kr	0.005v
13	kd	2v
14	kd	-20%
15	kd	+20%
16	kd	197v
17	zm	0.0005v
18	zm	-20%
19	zm	+20%
20	zm	0.04v
21	zs	-50%
22	zs	-20%
23	zs	+20%
24	zs	+50%
25	ksat	-20%
26	ksat	-10%
27	ksat	+10%
28	ksat	+20%
29	p	-20%
30	p	-10%
31	p	+10%
32	p	+20%
33	coh	-20%
34	coh	-10%
35	coh	+10%
36	coh	+20%
37	n	-20%
38	n	-10%
39	n	+10%
40	n	+20%
41	psi	-20%
42	psi	-10%
43	psi	+10%
44	psi	+20%
